Market,Start time,Settled date,Profit/Loss (£)
Basketball / Helsinki Seagulls v KTP Basket : Handicap,14-Oct-25 16:36,14-Oct-25 18:28,-2.00
Basketball / San Antonio Spurs @ Indiana Pacers : Total Points,14-Oct-25 00:10,14-Oct-25 02:22,9.40
